SampleID,HC343,HC345,HC348,HC354,HC361,HC363,HC364,HC367,HC370,HC374,HC376,HC383,HC384,HC387,HC388,HC389,HC391,HC392,HC394,HC396,HC455,HC456,HC465,HC466,HC467,HC511,HC515,HC524,HC525,HC537,HC538,HC539,HC543,HC551,HC609,HC618,HC628,HC638,HC696,HC716,HC720,HC721,HC722,HC733,HC769,HC770,HC773,HC778,HC786,KR00064,KR00065,KR00070,KR00080,KR00081,KR00085,KR00098,KR00099,KR00102,KR00105,KR00113,KR00144,KR00167,KR00168,KR00182,KR00192,KR00198,KR00199,KR00203,KR00211,KR00216,KR00219,KR00220,KR00235,KR00266,KR00270,KR00304,KR00305,KR00307,KR00308,KR00316,KR00349,KR00359,KR00361,KR00362,KR00364,KR00386,KR00388,KR00389,KR00402,KR00422,KR00423,KR00424,KR00448,KR00449,KR00450,KR00458,KR00488
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_massiliensis,2.51604,0,0,1.99371,0,0,19.7522,0,0,0,0,0,0,0,0,0,0.0341283,2.97304,0,0.589958,0.282139,0,0,0.0887183,0,11.0128,0.0631055,0.850905,0,0,0.793393,0,0,0.0834274,0,0,0,0,0,0,0,0.0857572,0,0,6.27308,0.586786,3.43868,0,0.0739308,0,0.18987,0.577894,0,2.01488,0.669783,0,0.099375,0.490239,2.13193,2.02044,0.278241,0,0.168555,0,0,0,0,0,0,0,0,0.691496,0,0,0.197958,0,0,0,0.176158,0,0.296177,0.0816554,0,5.41784,0,0,1.51496,0,0,0,0.125488,0.0764144,0.132129,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_naeslundii,0.689326,0.0763277,0,6.51008,0,0,0.163242,22.1934,0,0.108254,0,0.0968081,0.494665,0,0,0.0435471,34.8792,10.2782,1.15162,1.63877,120.121,0,0,0.931542,0,2.08864,32.9726,0.650692,40.6438,0,1.49158,0,0,0,0,0.480612,0,0,1.90808,0,0,0,0.787254,0.181483,178.682,0.138067,2.30427,0,0.887169,0,15.9491,0,0,0.283787,75.4175,1.19183,1.39125,0.163413,7.99475,1.81143,0.0927469,1.62374,0.758497,0,0.476679,0.534809,0,0,0,0,0,0,0,0,1.12176,0,0.0633842,3.39209,0.0880791,29.3919,2.07324,0.0816554,0.104755,3.86989,0,1.31455,0.964068,0.619876,0,10.2907,0,0.407543,0.264257,0,0.149523,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_oris,5.41121,12.9757,0,1.17995,0.0255671,0,2.93835,0.87033,0,1.37122,0,0,0.0706665,0,0.0557615,0.0435471,1.09211,3.05798,14.3953,0.131102,5.64278,1.3666,0,0.0887183,2.16999,0.949382,2.30335,1.10117,1.6988,0,3.20531,0,0.191076,0.33371,0,7.32933,1.27038,0,0.572423,0,0,0,0.455778,0.181483,542.318,3.14103,8.93349,0,0.369654,0.208045,0.142403,0.288947,0.0844065,0.397301,409.907,11.748,2.385,0.163413,0.355322,0.80121,0.741975,0,0.421387,0,0.476679,0,0,0.322418,0,0,0.426847,0,4.22045,0,0.85782,0,0,0.178531,0.264237,0.250499,2.07324,0,0.419021,0.371509,0,0.109546,0.34431,0.13775,0,18.8071,0.250976,0.229243,0.0660643,0,0.224285,14.7239,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_pacaensis,1.10292,20.7611,0.268688,1.09858,0.485774,2.51549,1.63242,41.4858,1.47015,6.96435,0,0,1.09533,0.223983,0,0.30483,3.58348,3.31282,7.70702,2.22873,6.70081,5.846,0,3.50437,0.454185,0,0,0.700745,0.38223,0.292785,2.85622,0,1.03181,1.33484,0,0.480612,0,0,0.636025,0.295158,0,0.0428786,0,2.46818,20.2357,2.51973,1.16986,0,1.10896,0.104023,2.94299,1.44474,0.168813,0.42568,21.8349,1.13508,0.099375,0,1.24363,2.89132,0.185494,34.689,0.168555,0.0761172,0,14.3062,0.0892966,0,0,0.184826,17.0739,0,0,0.19559,0,20.4287,0.0633842,0,1.40926,11.857,0,0.163311,0.523776,0.712059,0,0.219091,0.413172,0,0.0810109,2.66138,0.188232,0.114622,0.594578,0,2.09333,8.58511,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_radicidentis,0,0,34.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01463,0,0,1.85197,0,0,0,0,0,0,0,0,0,0,0.0636025,0,0,0,0.124303,0,0,0,0,0,0,0,0,0,1.09728,0,0.40187,0,0,0,0,0.0348352,0,0,2.19121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109546,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_respiraculi,0.0689326,0,0,0.040688,0,0,0,0,0,0.108254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443592,0,0,0.283975,0,0,0,0.0952072,0,0,0,0,0.040051,0,0,0,0,0,0,0,0,0.202357,0.10355,0.354504,0,0,0,0,0,0,0,0.267913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177425,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_slackii,0.137865,0,0,0.040688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442932,0.0655508,0.211604,0,0,0,0.050465,0.189876,0.0315527,0.0500532,0.08494,0,0.0634714,0,0,0.0417137,0,0,0,0,0,0,0,0,0,0,0,0.0690336,0.248152,0,0,0,0,0,0,0.0567573,0,0.0567538,0,0,0,0,0,0.147613,0,0,0,0.133702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688752,0,0.177425,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._Chiba101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._HMT_175,0.206798,1.14492,0,0.040688,0,0,0.108828,0,0,0.108254,0,0,0,0,0,0,0.0682567,1.18922,0,0,0.987487,0,0,0.0443592,0.050465,0,0.126211,0.15016,0.33976,0,0.126943,0,0,0.0417137,0.0461311,3.52449,0.224185,0,0.0636025,0,0,0,0,0,14.5697,0.138067,0.496305,0,0.147862,0,0,0,0,0.0567573,1.07165,0.113508,0,0,0,0.0348352,0,0,0.0842775,0,0,0,0,0,0,0,0,0,3.37636,0,0.0659862,0,0,0,0,0.167,0,0,0.104755,0,0,0,0.068862,0.0688752,0,0.354851,0.0627439,0.101886,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._HMT897,0,0,0,0,0,0,0.0544139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747283,0,0,0,0,0,0,0,1.21414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
