SampleID,HC343,HC345,HC348,HC354,HC361,HC363,HC364,HC367,HC370,HC374,HC375,HC376,HC383,HC384,HC387,HC388,HC389,HC391,HC392,HC394,HC396,HC455,HC456,HC465,HC466,HC467,HC511,HC515,HC524,HC525,HC537,HC538,HC539,HC543,HC551,HC609,HC618,HC628,HC638,HC696,HC716,HC720,HC721,HC722,HC733,HC769,HC770,HC773,HC778,HC786,KR00064,KR00065,KR00070,KR00080,KR00081,KR00085,KR00098,KR00099,KR00102,KR00105,KR00113,KR00144,KR00167,KR00168,KR00182,KR00192,KR00198,KR00199,KR00203,KR00207,KR00211,KR00216,KR00219,KR00220,KR00235,KR00266,KR00270,KR00304,KR00305,KR00307,KR00308,KR00312,KR00316,KR00349,KR00359,KR00361,KR00362,KR00364,KR00386,KR00388,KR00389,KR00402,KR00422,KR00423,KR00424,KR00448,KR00449,KR00450,KR00458,KR00488
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_massiliensis,1.33977,0,0,6.14517,0,0,122.843,9.65246,0,0,1.23196,0,0,0,0,0,0,0.258082,83.8116,0.640705,2.01846,0.782899,0.144191,0,0.758328,0.355747,11.501,0.790183,2.64526,0,2035.97,15.2574,0,0.106836,1.33053,0,0.187506,0,0,0.173012,0,0.0487208,0,0.582993,0.0354227,1.67394,2.17316,48.0901,0,3.05153,0,0.366179,2.79789,0,9.74566,3.62232,0,0.274597,6.34555,1.69506,2.06285,0.609732,0,1.47367,0,9.95479,0.0406494,0,0.0777654,2.49644,0,0,0,0,1.46209,0,0.221399,0,0,0.516548,22.1122,11.5665,0,0.954575,0,0,13.6291,0,1.71703,2.20671,0.466956,0,0.605995,0.61829,0.615035,1.42729,0,0.0793564,0.152716,0.0902881
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_naeslundii,0.717733,2.30804,0,129.049,0,0,6.55836,1375.12,0,4.42283,6.36513,0,0.145104,16.5833,0.684499,0,14.9602,462.354,215.683,57.223,3.78461,188.679,0.0720955,2.94694,8.18994,1.82956,15.8139,362.129,10.4752,161.031,15.9893,147.893,0,3.12198,2.02241,0,23.2508,0.540138,0,34.1698,0,0.146162,0,14.5748,5.17171,107.551,3.65487,65.2187,0,51.9851,0.766043,112.344,1.58799,0.0821892,4.42984,485.391,1.93482,57.1163,10.7969,7.91026,5.20401,4.14618,2.27505,31.0207,0,106.685,0.65039,0,0.388827,9.65289,0,0.0383499,0,0,6.88041,0.0988642,3.32099,0.780361,0,12.1389,10.8242,53.3503,174.134,8.82982,5.35507,0.240573,24.7723,0.108726,73.3237,6.3443,25.2156,0,37.7737,0,1.8451,3.05848,0,5.31688,0.305431,0.180576
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_oris,23.5416,44.8785,0,47.9324,0,0,101.15,21.1098,2.78768,17.9071,60.9821,0.343284,0,0.872806,0.34225,0,1.79523,22.066,200.444,354.43,19.3436,20.5902,23.7194,0.210496,13.0432,55.4966,0,35.2196,13.8611,55.9401,10.6595,204.762,0,10.8972,46.6218,0.0609484,513.017,8.15608,0.574817,21.0642,0,0,0,8.45341,2.37332,444.264,51.1681,220.475,0,10.1355,11.0782,2.56325,7.78873,0,7.6784,3191.64,6.49546,123.111,4.35665,5.36768,4.92272,17.6822,0.299348,32.7891,0,24.0418,0.0406494,0,1.39978,73.0624,0,0,1.98623,0.216965,201.252,0.395457,4.76009,1.24858,0,8.52305,92.9333,963.63,16.9159,11.2163,0.437149,5.35274,8.57174,0.108726,12.2736,5.51678,15.5029,0,75.9513,3.09145,1.02506,2.90556,0.743519,18.6488,48.5635,0.180576
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_pacaensis,0.143547,27.1836,0.24483,41.1727,6.63607,8.15951,25.4767,489.529,8.82765,69.6866,4.15787,0,0.290207,15.2118,4.44924,0,5.38569,28.0019,82.7126,211.873,23.2123,9.78623,2.45125,2.21021,101.464,2.69352,0,0,12.1682,1.62932,6464.99,98.9999,0,53.4891,78.7142,0,0.750024,0,0.862226,47.3187,3.09262,0.438487,0.678771,0,45.1639,26.1972,34.6718,25.7679,0,16.6745,0.176779,51.2651,3.93217,0.246568,6.34944,145.268,0.760107,11.2585,0.568259,18.5515,5.5322,2.80477,83.6378,3.16838,0,9.2974,26.666,9.44055,0.0777654,29.9572,0.346527,2.22429,18.8692,0,0,1.48296,0.1107,151.546,0,0,60.9246,149.641,17.8003,0.954575,0.109287,6.67589,8.22888,0,22.1943,4.13759,0.186782,0.24302,7.27194,1.23658,1.23007,21.4094,0.12392,56.2637,36.1936,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_procaprae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_radicidentis,0,0,19.0967,0,0,0,0,0,0,0,0.564649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40189,0,0,5.71375,0,5.32975,0,0,0,0,0,0,0,0,0,0,0,0,0.291497,0,0,0,0,0,0,0,0,0,9.20519,0,0,0,0,0,0,0,0,0,38.389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20828,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_respiraculi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0800881,0,0.0782899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0987802,0.0499378,0,0,0,0,0,0,0,0,0,0,0,0.0941698,0,0,0.0598696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_slackii,0.0956977,0,0,0,0,0,0,0,0,0,0.153995,0,0,0,0,0,0,0,0.586095,0.20022,0,0,0,0,0,0.101642,0,0,0,0,0,0.866899,0,0.0356119,0,0,0,0.0540138,0,0,0,0,0,0,0,0,1.87682,0,0,0,0,0,0,0,0,0.874354,0,0,0,0,0,0,0,0.0736833,0,0.0939131,0,0,0.155531,0.0832146,0,0,0,0,0,0,0,0,0,0,0,0.433742,0,0,0,0,0,0,0.0635939,0,0,0,0,0,0,0,0,0.158713,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_sp._Chiba101,0,0,0,0,0,0,0.252245,1.33408,0,0,0,0,0,0,0,0,0,0.516164,0,0,0.168205,0,0,0,0,0,0,0.112883,0,0,0,0.17338,0,0.0474825,0.106442,0,0.750024,0,0,0,0,0,0,0,0,0,0.19756,0.249689,0,0,0,0,0,0,0,0.249815,0,0,0.18942,0,0,0,0.0598696,0,0,0,0,0,0,0.0832146,0,0,0,0,0,0,0,0,0,0,0,0.433742,0.110561,0.238644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
